Time (ps),Radius (nm)
857,1.56547
858,1.56531
859,1.56467
860,1.56563
861,1.56455
862,1.56543
863,1.56446
864,1.56478
865,1.56574
866,1.56477
867,1.56504
868,1.56547
869,1.56471
870,1.56551
871,1.56546
872,1.56488
873,1.56519
874,1.565
875,1.56545
876,1.56441
877,1.56511
878,1.56537
879,1.56482
880,1.56564
881,1.56481
882,1.56491
883,1.56519
884,1.56488
885,1.56573
886,1.56463
887,1.56535
888,1.56509
889,1.56502
890,1.56565
891,1.56502
892,1.56526
893,1.56493
894,1.56505
895,1.56558
896,1.56463
897,1.56551
898,1.56515
899,1.56513
900,1.56509
901,1.56495
902,1.56518
903,1.56503
904,1.56492
905,1.56521
906,1.5651
907,1.565
908,1.56544
909,1.56473
910,1.56535
911,1.56498
912,1.56533
913,1.56502
914,1.56497
915,1.5655
916,1.56507
917,1.5648
918,1.56548
919,1.56474
920,1.56564
921,1.56501
922,1.56497
923,1.56537
924,1.56472
925,1.56565
926,1.56505
927,1.56517
928,1.56523
929,1.56486
930,1.56515
931,1.56472
932,1.56562
933,1.56518
934,1.56491
935,1.5653
936,1.56515
937,1.56463
938,1.56537
939,1.56477
940,1.56485
941,1.56526
942,1.56516
943,1.5653
944,1.56508
945,1.56521
946,1.56551
947,1.56509
948,1.56518
949,1.56551
950,1.56495
951,1.5652
952,1.56509
953,1.56511
954,1.56495
955,1.5655
956,1.56543
957,1.56513
958,1.56491
959,1.56525
960,1.56505
961,1.56527
962,1.56484
963,1.56569
964,1.56437
965,1.56507
966,1.56572
967,1.56472
968,1.56525
969,1.56551
970,1.56461
971,1.56589
972,1.56519
973,1.56544
974,1.56521
975,1.5651
976,1.56521
977,1.56508
978,1.56514
979,1.56533
980,1.56491
981,1.56542
982,1.56515
983,1.56546
984,1.56505
985,1.56498
986,1.56538
987,1.56495
988,1.5656
989,1.56496
990,1.565
991,1.56542
992,1.56505
993,1.56528
994,1.56511
995,1.56536
996,1.56498
997,1.5655
998,1.56523
999,1.56498
1000,1.56552
1001,1.56519
1002,1.56561
1003,1.56488
1004,1.56461
1005,1.56539
1006,1.56508
1007,1.56568
1008,1.56501
1009,1.56468
1010,1.56507
1011,1.56467
1012,1.56536
1013,1.565
1014,1.56498
1015,1.56489
1016,1.56517
1017,1.56559
1018,1.56519
1019,1.56521
1020,1.56556
1021,1.56491
1022,1.56499
1023,1.56512
1024,1.56504
1025,1.56514
1026,1.56501
1027,1.5654
1028,1.56527
1029,1.56474
1030,1.56504
1031,1.56543
1032,1.56494
1033,1.56567
1034,1.56514
1035,1.56514
1036,1.56532
1037,1.5651
1038,1.56459
1039,1.5651
1040,1.5652
1041,1.56526
1042,1.56517
1043,1.56562
1044,1.56489
1045,1.56571
1046,1.56504
1047,1.56534
1048,1.56506
1049,1.56524
1050,1.56501
1051,1.56475
1052,1.56558
1053,1.56517
1054,1.56482
1055,1.56542
1056,1.56536
1057,1.56496
1058,1.56531
1059,1.56529
1060,1.56535
1061,1.56489
1062,1.56537
1063,1.56491
1064,1.56523
1065,1.5655
1066,1.56486
1067,1.5652
1068,1.56527
1069,1.56524
1070,1.56514
1071,1.56506
1072,1.56527
1073,1.56489
1074,1.56502
1075,1.5654
1076,1.56509
1077,1.56504
1078,1.56522
1079,1.56489
1080,1.56524
1081,1.565
1082,1.56537
1083,1.56546
1084,1.5647
1085,1.56573
1086,1.56481
1087,1.56523
1088,1.56476
1089,1.56569
1090,1.56511
1091,1.56485
1092,1.56529
1093,1.5648
1094,1.56578
1095,1.56507
1096,1.56514
1097,1.56498
1098,1.56529
1099,1.56529
1100,1.56507
1101,1.56514
1102,1.56577
1103,1.56485
1104,1.5652
1105,1.56513
1106,1.56547
1107,1.56501
1108,1.56528
1109,1.56505
1110,1.56539
1111,1.5649
1112,1.56515
1113,1.56494
1114,1.56541
1115,1.56529
1116,1.56475
1117,1.56577
1118,1.56517
1119,1.56512
1120,1.56503
1121,1.56498
1122,1.56486
1123,1.56528
1124,1.56498
1125,1.56524
1126,1.56509
1127,1.56541
1128,1.5654
1129,1.56481
1130,1.5654
1131,1.56509
1132,1.56471
1133,1.56545
1134,1.56551
1135,1.56485
1136,1.56538
1137,1.56508
1138,1.56524
1139,1.56516
1140,1.56503
1141,1.56536
1142,1.56502
1143,1.56537
1144,1.56518
1145,1.56497
1146,1.56521
1147,1.56477
1148,1.56518
1149,1.56528
1150,1.56488
1151,1.56563
1152,1.56476
1153,1.56489
1154,1.56566
1155,1.56506
1156,1.56538
1157,1.56522
1158,1.56482
1159,1.56537
1160,1.56467
1161,1.56488
1162,1.56539
1163,1.56519
1164,1.56519
1165,1.56513
1166,1.56481
1167,1.56499
1168,1.56544
1169,1.56552
1170,1.56492
1171,1.56543
1172,1.56524
1173,1.56509
1174,1.56533
1175,1.56519
1176,1.56471
1177,1.56596
1178,1.56549
1179,1.56522
1180,1.56489
1181,1.56493
1182,1.56472
1183,1.56579
1184,1.56452
1185,1.56529
1186,1.56526
1187,1.56488
1188,1.56545
1189,1.56501
1190,1.56488
1191,1.56509
1192,1.56508
1193,1.56482
1194,1.56509
1195,1.56559
1196,1.56458
1197,1.56521
1198,1.56565
1199,1.56438
1200,1.56583
1201,1.5651
1202,1.56511
1203,1.56568
1204,1.56509
1205,1.56482
1206,1.5652
1207,1.56489
1208,1.56494
1209,1.56525
1210,1.56548
1211,1.56458
1212,1.56524
1213,1.56494
1214,1.56497
1215,1.5655
1216,1.56535
1217,1.5651
1218,1.56534
1219,1.5657
1220,1.56488
1221,1.56528
1222,1.56533
1223,1.56504
1224,1.56521
1225,1.56481
1226,1.56509
1227,1.56536
1228,1.56493
1229,1.56524
1230,1.56553
1231,1.56503
1232,1.56515
1233,1.56533
1234,1.56545
1235,1.56512
1236,1.56494
1237,1.56547
1238,1.56503
1239,1.56476
1240,1.56557
1241,1.56496
1242,1.56513
1243,1.56539
1244,1.56479
1245,1.56559
1246,1.56503
1247,1.56511
1248,1.56517
1249,1.56521
1250,1.56499
1251,1.56491
1252,1.56496
1253,1.56561
1254,1.56476
1255,1.56579
1256,1.5648
1257,1.56515
1258,1.56527
1259,1.56494
1260,1.5654
1261,1.5654
1262,1.56502
1263,1.56521
1264,1.56525
1265,1.5649
1266,1.56528
1267,1.56536
1268,1.56508
1269,1.56546
1270,1.56448
1271,1.56522
1272,1.56557
1273,1.56454
1274,1.56569
1275,1.56539
1276,1.56514
1277,1.56538
1278,1.56493
1279,1.56532
1280,1.56486
1281,1.5653
1282,1.56559
1283,1.56451
1284,1.56551
1285,1.5651
