E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
1007.36,1.62911,1.57383,0.05528
1008.7,1.61962,1.56448,0.0551389
1010.03,1.62128,1.56628,0.0549984
1011.37,1.61764,1.56278,0.0548585
1012.7,1.61254,1.55782,0.054719
1014.03,1.62019,1.56561,0.0545801
1015.37,1.61562,1.56118,0.0544417
1016.7,1.62038,1.56608,0.0543038
1018.04,1.6142,1.56003,0.0541665
1019.37,1.61445,1.56042,0.0540296
1020.71,1.6193,1.56541,0.0538933
1022.04,1.61309,1.55933,0.0537575
1023.37,1.61542,1.5618,0.0536222
1024.71,1.61819,1.5647,0.0534873
1026.04,1.61292,1.55956,0.053353
1027.38,1.6094,1.55618,0.0532192
1028.71,1.60909,1.55601,0.0530859
1030.05,1.61891,1.56595,0.0529531
