E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
2097.45,9.94249,9.87635,0.0661302
2098.79,9.94257,9.87652,0.0660468
2100.12,9.94257,9.87661,0.0659634
2101.45,9.94247,9.87659,0.0658803
2102.79,9.94262,9.87682,0.0657973
2104.12,9.9427,9.87699,0.0657144
2105.46,9.94255,9.87692,0.0656317
2106.79,9.94274,9.87719,0.0655492
2108.13,9.9427,9.87724,0.0654668
2109.46,9.94268,9.8773,0.0653845
2110.79,9.94263,9.87733,0.0653025
2112.13,9.94266,9.87743,0.0652205
2113.46,9.94265,9.87751,0.0651388
2114.8,9.94262,9.87756,0.0650572
2116.13,9.94288,9.8779,0.0649757
2117.46,9.94279,9.87789,0.0648944
2118.8,9.94257,9.87775,0.0648132
2120.13,9.94267,9.87794,0.0647322
2121.47,9.94273,9.87807,0.0646514
2122.8,9.94262,9.87805,0.0645707
2124.14,9.94272,9.87823,0.0644901
2125.47,9.94277,9.87836,0.0644097
2126.8,9.94273,9.8784,0.0643295
2128.14,9.9427,9.87845,0.0642493
2129.47,9.94279,9.87862,0.0641694
2130.81,9.94287,9.87878,0.0640896
2132.14,9.94285,9.87884,0.0640099
2133.48,9.94285,9.87892,0.0639304
2134.81,9.94303,9.87918,0.0638511
2136.14,9.94289,9.87912,0.0637718
2137.48,9.94286,9.87917,0.0636928
2138.81,9.94306,9.87944,0.0636139
2140.15,9.94322,9.87969,0.0635351
2141.48,9.94283,9.87937,0.0634565
2142.82,9.94315,9.87978,0.063378
2144.15,9.94293,9.87963,0.0632996
2145.48,9.943,9.87978,0.0632214
2146.82,9.94286,9.87972,0.0631434
2148.15,9.94296,9.87989,0.0630655
2149.49,9.94301,9.88002,0.0629877
2150.82,9.94306,9.88015,0.0629101
2152.16,9.94308,9.88025,0.0628326
2153.49,9.94301,9.88025,0.0627553
2154.82,9.94293,9.88025,0.0626781
2156.16,9.94322,9.88062,0.0626011
2157.49,9.94321,9.88069,0.0625242
2158.83,9.9431,9.88065,0.0624474
2160.16,9.94341,9.88103,0.0623708
2161.5,9.94318,9.88089,0.0622943
2162.83,9.94323,9.88102,0.062218
2164.16,9.94351,9.88137,0.0621417
2165.5,9.94342,9.88135,0.0620657
2166.83,9.94329,9.8813,0.0619898
2168.17,9.94335,9.88143,0.061914
2169.5,9.94355,9.88171,0.0618383
2170.84,9.94356,9.8818,0.0617628
2172.17,9.94359,9.88191,0.0616875
2173.5,9.94369,9.88208,0.0616122
2174.84,9.94345,9.88191,0.0615371
2176.17,9.94365,9.88219,0.0614622
2177.51,9.94379,9.8824,0.0613873
2178.84,9.94372,9.88241,0.0613127
