Time (ns),Water after lsq fit to Water
0.0587120,0.9251057
0.0587940,0.9256992
0.0588760,0.9261507
0.0589580,0.9238221
0.0590400,0.9547773
0.0591220,0.9245233
0.0592040,0.9837613
0.0592860,0.9848448
0.0593680,1.0144862
0.0594500,0.9844613
0.0595320,0.9847164
0.0596140,0.9551629
0.0596960,0.9552410
0.0597780,0.9573303
0.0598600,1.0415870
0.0599420,0.8956657
0.0600240,0.9556230
0.0601060,1.0143706
0.0601880,1.0153766
0.0602700,0.9595949
0.0603520,0.8993516
0.0604340,0.9016972
0.0605160,0.9001607
0.0605980,0.9000121
0.0606800,0.9569502
0.0607620,0.9273269
0.0608440,0.9284053
0.0609260,0.8993983
0.0610080,0.8339252
0.0610900,0.8332683
0.0611720,0.8973102
0.0612540,0.9290036
0.0613360,0.9292067
0.0614180,0.8676638
0.0615000,0.9584499
0.0615820,0.9601500
0.0616640,0.9614234
0.0617460,0.9322761
0.0618280,0.8686124
0.0619100,0.8995274
0.0619920,0.8988216
0.0620740,0.9580828
0.0621560,1.0147743
0.0622380,0.9570309
0.0623200,0.9257554
0.0624020,0.9562735
0.0624840,0.9563426
0.0625660,0.8955509
0.0626480,0.9300936
0.0627300,1.0149050
0.0628120,0.9861988
0.0628940,0.9872672
0.0629760,1.0172285
0.0630580,0.9910526
0.0631400,0.9911965
0.0632220,0.9903354
0.0633040,1.0176319
0.0633860,1.0179931
0.0634680,1.0168406
0.0635500,0.9296351
0.0636320,0.9594958
0.0637140,0.8981396
0.0637960,0.8972459
0.0638780,0.9594761
0.0639600,1.0441192
0.0640420,0.9906445
0.0641240,0.9905697
0.0642060,0.9618342
0.0642880,0.9618682
0.0643700,0.9584939
0.0644520,0.9575360
0.0645340,0.9579568
0.0646160,1.0115254
0.0646980,1.0116206
0.0647800,1.0141382
0.0648620,1.0155336
0.0649440,0.9866509
0.0650260,0.9605694
0.0651080,0.9316129
0.0651900,0.9323103
0.0652720,0.8996133
0.0653540,0.9319120
0.0654360,0.9606282
0.0655180,1.0971917
0.0656000,0.9022349
0.0656820,0.9031773
0.0657640,0.9035443
0.0658460,0.9642947
0.0659280,0.9641689
0.0660100,0.9321738
0.0660920,0.9324837
0.0661740,0.9932736
0.0662560,1.0191752
0.0663380,0.8701051
0.0664200,0.8711567
0.0665020,0.9626863
0.0665840,0.9628658
0.0666660,0.9005240
0.0667480,0.9007364
0.0668300,0.9905891
0.0669120,0.9902776
0.0669940,0.9910382
0.0670760,0.9906268
0.0671580,1.0196409
0.0672400,1.0189973
0.0673220,0.8989290
0.0674040,0.9288738
0.0674860,0.9288960
0.0675680,0.9582913
0.0676500,0.9591151
0.0677320,0.8996285
0.0678140,0.9325879
0.0678960,0.9325272
0.0679780,0.9311694
0.0680600,0.9294424
0.0681420,0.9594200
0.0682240,0.9890338
0.0683060,1.0431040
0.0683880,1.0433171
0.0684700,1.0146090
0.0685520,1.0141183
0.0686340,0.9581423
0.0687160,0.9274347
0.0687980,0.9263875
0.0688800,0.9277692
0.0689620,0.9862977
0.0690440,0.9875606
0.0691260,1.0419116
0.0692080,1.0154408
0.0692900,1.0160719
0.0693720,0.9288266
0.0694540,0.8991660
0.0695360,0.9898998
0.0696180,0.9297305
0.0697000,0.9887236
0.0697820,0.9892179
0.0698640,0.9605478
0.0699460,1.0470393
0.0700280,0.9304167
0.0701100,0.9615220
0.0701920,0.9615431
0.0702740,0.9608048
0.0703560,0.9606113
0.0704380,0.9302080
0.0705200,0.9901772
0.0706020,0.9311264
0.0706840,0.9314932
0.0707660,1.0195705
0.0708480,0.9329792
0.0709300,0.9023217
0.0710120,0.9324770
0.0710940,0.9326980
0.0711760,0.9630893
0.0712580,0.9031662
0.0713400,0.9016398
0.0714220,0.8364094
0.0715040,0.9345898
0.0715860,0.9357877
0.0716680,0.8723244
0.0717500,0.9332206
0.0718320,0.9319573
0.0719140,0.9317968
0.0719960,0.9327998
0.0720780,1.0989849
0.0721600,1.0175606
0.0722420,1.0180763
0.0723240,0.9892576
0.0724060,0.9611135
0.0724880,0.9600948
0.0725700,0.9288474
0.0726520,0.9289487
0.0727340,0.8989490
0.0728160,0.9311428
0.0728980,0.9309132
0.0729800,0.9889809
0.0730620,0.9582844
0.0731440,1.0168461
0.0732260,1.0448386
0.0733080,1.0451100
0.0733900,1.0462897
0.0734720,1.0993905
0.0735540,1.0197858
0.0736360,0.9326561
0.0737180,0.9035625
0.0738000,0.8374661
0.0738820,0.8373046
0.0739640,0.9014066
0.0740460,0.9913088
0.0741280,0.9627623
0.0742100,0.9603903
0.0742920,0.9588083
0.0743740,1.0439310
0.0744560,1.0687297
0.0745380,1.0408930
0.0746200,1.0675805
0.0747020,1.0686706
0.0747840,1.0683424
0.0748660,1.0680890
0.0749480,1.0697042
0.0750300,1.0969338
