Time (ns),System after lsq fit to System
0.0025850,0.3993679
0.0025900,0.3994272
0.0025950,0.3994855
0.0026000,0.4032563
0.0026050,0.4032906
0.0026100,0.4033267
0.0026150,0.4033642
0.0026200,0.4034027
0.0026250,0.4034418
0.0026300,0.4034813
0.0026350,0.4035227
0.0026400,0.4035680
0.0026450,0.4036161
0.0026500,0.4036653
0.0026550,0.4037150
0.0026600,0.4037677
0.0026650,0.4038236
0.0026700,0.4038796
0.0026750,0.4039318
0.0026800,0.4039774
0.0026850,0.4040171
0.0026900,0.4040546
0.0026950,0.4040942
0.0027000,0.3880225
0.0027050,0.3880462
0.0027100,0.3880748
0.0027150,0.3881076
0.0027200,0.3881452
0.0027250,0.3881883
0.0027300,0.3882360
0.0027350,0.3882869
0.0027400,0.3883385
0.0027450,0.3883870
0.0027500,0.3884277
0.0027550,0.3884574
0.0027600,0.3884784
0.0027650,0.3884970
0.0027700,0.3885200
0.0027750,0.3885501
0.0027800,0.3885855
0.0027850,0.3886223
0.0027900,0.3886565
0.0027950,0.3886863
0.0028000,0.3884629
0.0028050,0.3884779
0.0028100,0.3885084
0.0028150,0.3885507
0.0028200,0.3885987
0.0028250,0.3886448
0.0028300,0.3886836
0.0028350,0.3887150
0.0028400,0.3887420
0.0028450,0.3887708
0.0028500,0.3888078
0.0028550,0.3888559
0.0028600,0.3889113
0.0028650,0.3889653
0.0028700,0.3890104
0.0028750,0.3890428
0.0028800,0.3890650
0.0028850,0.3890849
0.0028900,0.3891097
0.0028950,0.3891415
0.0029000,0.3884314
0.0029050,0.3884534
0.0029100,0.3884837
0.0029150,0.3885192
0.0029200,0.3885563
0.0029250,0.3885927
0.0029300,0.3886289
0.0029350,0.3886666
0.0029400,0.3887074
0.0029450,0.3887534
0.0029500,0.3888058
0.0029550,0.3888635
0.0029600,0.3889220
0.0029650,0.3889777
0.0029700,0.3890303
0.0029750,0.3890793
0.0029800,0.3891238
0.0029850,0.3891634
0.0029900,0.3891988
0.0029950,0.3892320
0.0030000,0.3618140
0.0030050,0.3618254
0.0030100,0.3618450
0.0030150,0.3618747
0.0030200,0.3619154
0.0030250,0.3619659
0.0030300,0.3620233
0.0030350,0.3620840
0.0030400,0.3621449
0.0030450,0.3622042
0.0030500,0.3622602
0.0030550,0.3623112
0.0030600,0.3623557
0.0030650,0.3623931
0.0030700,0.3624236
0.0030750,0.3624477
0.0030800,0.3624652
0.0030850,0.3624759
0.0030900,0.3624812
0.0030950,0.3624836
0.0031000,0.3899350
0.0031050,0.3899226
0.0031100,0.3899213
0.0031150,0.3899303
0.0031200,0.3899490
0.0031250,0.3899765
0.0031300,0.3900108
0.0031350,0.3900473
0.0031400,0.3900804
0.0031450,0.3901065
0.0031500,0.3901249
0.0031550,0.3901392
0.0031600,0.3901539
0.0031650,0.3901721
0.0031700,0.3901934
0.0031750,0.3902141
0.0031800,0.3902321
0.0031850,0.3902461
0.0031900,0.3902578
0.0031950,0.3902687
0.0032000,0.4149264
0.0032050,0.4149203
0.0032100,0.4149268
0.0032150,0.4149421
0.0032200,0.4149622
0.0032250,0.4149847
0.0032300,0.4150085
0.0032350,0.4150336
0.0032400,0.4150623
0.0032450,0.4150953
0.0032500,0.4151288
0.0032550,0.4151567
0.0032600,0.4151749
0.0032650,0.4151849
0.0032700,0.4151911
0.0032750,0.4151973
0.0032800,0.4152050
0.0032850,0.4152141
0.0032900,0.4152242
0.0032950,0.4152354
0.0033000,0.4046477
0.0033050,0.4046408
0.0033100,0.4046472
0.0033150,0.4046657
0.0033200,0.4046961
0.0033250,0.4047375
0.0033300,0.4047878
0.0033350,0.4048437
0.0033400,0.4049014
0.0033450,0.4049583
0.0033500,0.4050147
0.0033550,0.4050721
0.0033600,0.4051304
0.0033650,0.4051895
0.0033700,0.4052484
0.0033750,0.4053043
0.0033800,0.4053531
0.0033850,0.4053919
0.0033900,0.4054212
0.0033950,0.4054445
0.0034000,0.3905359
0.0034050,0.3905541
0.0034100,0.3905839
0.0034150,0.3906205
0.0034200,0.3906593
0.0034250,0.3906959
0.0034300,0.3907276
0.0034350,0.3907546
0.0034400,0.3907800
0.0034450,0.3908094
0.0034500,0.3908482
0.0034550,0.3908995
0.0034600,0.3909629
0.0034650,0.3910344
0.0034700,0.3911073
0.0034750,0.3911747
