Time (ns),non-Water after lsq fit to non-Water
0.0046750,0.0613888
0.0046800,0.0613702
0.0046850,0.0613603
0.0046900,0.0613629
0.0046950,0.0613764
0.0047000,0.0610015
0.0047050,0.0610065
0.0047100,0.0610111
0.0047150,0.0610157
0.0047200,0.0610213
0.0047250,0.0610285
0.0047300,0.0610371
0.0047350,0.0610469
0.0047400,0.0610582
0.0047450,0.0610713
0.0047500,0.0610857
0.0047550,0.0611005
0.0047600,0.0611152
0.0047650,0.0611295
0.0047700,0.0611434
0.0047750,0.0611564
0.0047800,0.0611688
0.0047850,0.0611811
0.0047900,0.0611939
0.0047950,0.0612071
0.0048000,0.0784379
0.0048050,0.0784501
0.0048100,0.0784612
0.0048150,0.0784704
0.0048200,0.0784774
0.0048250,0.0784828
0.0048300,0.0784877
0.0048350,0.0784932
0.0048400,0.0785000
0.0048450,0.0785083
0.0048500,0.0785182
0.0048550,0.0785297
0.0048600,0.0785437
0.0048650,0.0785606
0.0048700,0.0785806
0.0048750,0.0786030
0.0048800,0.0786272
0.0048850,0.0786526
0.0048900,0.0786785
0.0048950,0.0787036
0.0049000,0.0247632
0.0049050,0.0247767
0.0049100,0.0247897
0.0049150,0.0248004
0.0049200,0.0248086
0.0049250,0.0248151
0.0049300,0.0248199
0.0049350,0.0248228
0.0049400,0.0248240
0.0049450,0.0248237
0.0049500,0.0248210
0.0049550,0.0248158
0.0049600,0.0248098
0.0049650,0.0248044
0.0049700,0.0248001
0.0049750,0.0247967
0.0049800,0.0247950
0.0049850,0.0247957
0.0049900,0.0247980
0.0049950,0.0248001
0.0050000,0.0614282
0.0050050,0.0614238
0.0050100,0.0614217
0.0050150,0.0614226
0.0050200,0.0614263
0.0050250,0.0614319
0.0050300,0.0614374
0.0050350,0.0614409
0.0050400,0.0614409
0.0050450,0.0614385
0.0050500,0.0614361
0.0050550,0.0614360
0.0050600,0.0614384
0.0050650,0.0614420
0.0050700,0.0614455
0.0050750,0.0614479
0.0050800,0.0614485
0.0050850,0.0614466
0.0050900,0.0614426
0.0050950,0.0614376
0.0051000,0.0614806
0.0051050,0.0614792
0.0051100,0.0614796
0.0051150,0.0614813
0.0051200,0.0614844
0.0051250,0.0614892
0.0051300,0.0614954
0.0051350,0.0615028
0.0051400,0.0615114
0.0051450,0.0615211
