E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
26.3597,393.284,180.26,213.024
26.5224,382.026,169.874,212.151
26.6851,385.313,174.032,211.281
26.8478,391.28,180.868,210.412
27.0106,388.712,179.167,209.545
27.1733,392.245,183.565,208.68
27.336,394.651,186.833,207.818
27.4987,391.845,184.888,206.957
27.6614,400.243,194.145,206.098
27.8241,397.879,192.638,205.241
27.9868,395.945,191.558,204.387
28.1496,403.886,200.352,203.534
28.3123,401.499,198.815,202.684
28.475,404.021,202.185,201.836
28.6377,409.529,208.538,200.99
28.8004,408.45,208.304,200.147
28.9631,400.82,201.514,199.306
29.1258,407.53,209.062,198.467
29.2886,413.339,215.708,197.631
29.4513,408.544,211.747,196.797
29.614,413.132,217.167,195.966
29.7767,415.993,220.857,195.137
29.9394,407.331,213.021,194.31
30.1021,420.433,226.947,193.486
30.2648,414.581,221.917,192.665
30.4276,419.353,227.508,191.846
30.5903,423.752,232.722,191.03
30.753,426.55,236.334,190.216
30.9157,421.008,231.603,189.405
31.0784,424.336,235.74,188.597
31.2411,428.776,240.985,187.791
31.4038,424.818,237.83,186.988
31.5666,426.96,240.772,186.188
31.7293,416.94,231.549,185.39
31.892,421.702,237.106,184.596
32.0547,426.808,243.004,183.804
32.2174,422.978,239.964,183.015
32.3801,423.2,240.972,182.228
32.5428,433.119,251.674,181.445
32.7056,425.898,245.234,180.664
32.8683,426.291,246.405,179.886
33.031,426.46,247.349,179.111
33.1937,430.76,252.422,178.339
33.3564,426.074,248.505,177.57
33.5191,422.55,245.747,176.803
33.6818,432.172,256.132,176.04
33.8446,419.922,244.643,175.279
34.0073,426.939,252.418,174.522
34.17,421.806,248.04,173.767
34.3327,422.812,249.797,173.015
34.4954,425.359,253.092,172.266
34.6581,428.497,256.977,171.521
34.8208,424.384,253.607,170.778
34.9836,428.263,258.225,170.038
35.1463,423.799,254.498,169.301
35.309,427.107,258.54,168.567
35.4717,429.525,261.689,167.836
35.6344,419.831,252.723,167.108
35.7971,419.737,253.353,166.383
35.9598,423.807,258.146,165.661
36.1226,423.39,258.448,164.942
36.2853,422.97,258.744,164.226
