E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
11.0646,40.8536,2.53756,38.316
11.2273,40.1232,1.87022,38.253
11.39,39.7185,1.52934,38.1892
11.5527,39.9804,1.85574,38.1246
11.7154,39.9106,1.85111,38.0594
11.8781,40.4823,2.48872,37.9936
12.0409,39.4501,1.52311,37.927
12.2036,40.7762,2.9164,37.8598
12.3663,40.5313,2.73937,37.7919
12.529,40.4131,2.68973,37.7234
12.6917,40.6637,3.00955,37.6542
12.8544,40.6237,3.03937,37.5844
13.0171,41.2857,3.7718,37.5139
13.1798,40.2991,2.85624,37.4429
13.3426,40.6364,3.26523,37.3712
13.5053,40.4283,3.12932,37.2989
13.668,41.1138,3.88769,37.2261
13.8307,42.0759,4.92326,37.1526
13.9934,40.2588,3.18023,37.0786
14.1561,40.7889,3.78483,37.004
14.3188,40.7682,3.83929,36.9289
14.4816,40.099,3.24582,36.8532
14.6443,41.8307,5.05375,36.777
14.807,41.4094,4.70921,36.7002
14.9697,41.3715,4.74861,36.6229
15.1324,41.3845,4.83941,36.5451
15.2951,43.0698,6.60297,36.4668
15.4578,41.7809,5.39293,36.388
15.6206,42.2217,5.91297,36.3087
15.7833,41.5784,5.3495,36.229
15.946,43.2831,7.13437,36.1487
16.1087,42.0202,5.95217,36.068
16.2714,41.878,5.89111,35.9868
16.4341,42.2197,6.31443,35.9052
16.5968,42.0123,6.18909,35.8232
16.7596,42.3492,6.60849,35.7407
16.9223,42.5439,6.8861,35.6578
17.085,42.3063,6.73179,35.5745
17.2477,42.4643,6.97347,35.4908
17.4104,42.1005,6.69376,35.4067
17.5731,42.8084,7.4862,35.3222
17.7358,43.2366,7.99927,35.2374
17.8986,43.9081,8.75597,35.1521
18.0613,43.7705,8.70399,35.0665
18.224,44.0412,9.06058,34.9806
18.3867,43.6142,8.71988,34.8943
18.5494,42.9989,8.19123,34.8077
18.7121,44.1617,9.44098,34.7207
18.8748,44.6132,9.97979,34.6334
19.0376,44.7944,10.2485,34.5458
19.2003,44.9374,10.4795,34.4579
19.363,46.1208,11.751,34.3697
19.5257,45.8182,11.537,34.2812
19.6884,44.6612,10.4688,34.1925
19.8511,45.4195,11.3161,34.1034
20.0138,45.8894,11.8753,34.0141
20.1766,44.0624,10.1378,33.9246
20.3393,45.7668,11.932,33.8348
20.502,44.9386,11.1938,33.7447
20.6647,45.2064,11.5519,33.6545
20.8274,46.529,12.965,33.564
20.9901,46.1721,12.6989,33.4732
21.1528,45.9847,12.6024,33.3823
21.3156,44.2476,10.9565,33.2912
21.4783,45.8457,12.6459,33.1998
21.641,46.4258,13.3175,33.1083
21.8037,45.4439,12.4273,33.0166
21.9664,48.1484,15.2237,32.9247
22.1291,47.0058,14.1731,32.8327
22.2918,46.7536,14.0131,32.7404
22.4546,47.8171,15.1691,32.6481
22.6173,45.3421,12.7866,32.5556
22.78,48.5965,16.1336,32.4629
22.9427,47.6283,15.2582,32.3701
23.1054,47.4902,15.213,32.2772
23.2681,48.1382,15.954,32.1842
23.4308,47.5806,15.4896,32.0911
23.5936,48.8874,16.8896,31.9978
23.7563,49.407,17.5026,31.9045
23.919,48.113,16.302,31.811
24.0817,49.2523,17.5348,31.7175
24.2444,48.4946,16.8707,31.6239
24.4071,47.8827,16.3525,31.5302
24.5698,49.3777,17.9413,31.4365
24.7326,50.1419,18.7992,31.3427
24.8953,49.3674,18.1186,31.2488
25.058,48.9037,17.7488,31.1549
25.2207,51.4165,20.3555,31.0609
25.3834,50.1267,19.1597,30.967
25.5461,49.7229,18.85,30.8729
25.7088,49.7133,18.9344,30.7789
25.8716,49.6805,18.9957,30.6848
26.0343,51.4602,20.8694,30.5907
26.197,50.1844,19.6878,30.4966
26.3597,51.7266,21.324,30.4025
26.5224,51.6021,21.2937,30.3084
26.6851,54.0794,23.865,30.2143
26.8478,52.9274,22.8072,30.1203
27.0106,51.6,21.5739,30.0262
27.1733,52.2664,22.3342,29.9322
27.336,50.7049,20.8668,29.8381
27.4987,51.3434,21.5992,29.7442
27.6614,51.7783,22.1281,29.6502
27.8241,52.5345,22.9782,29.5563
27.9868,51.951,22.4885,29.4625
28.1496,53.0104,23.6417,29.3687
28.3123,51.8874,22.6125,29.2749
28.475,52.9189,23.7377,29.1813
28.6377,54.2293,25.1417,29.0876
28.8004,53.1071,24.113,28.9941
28.9631,54.5299,25.6293,28.9006
29.1258,52.2227,23.4155,28.8072
29.2886,52.0166,23.3026,28.7139
29.4513,53.7566,25.1359,28.6207
29.614,54.2193,25.6917,28.5276
29.7767,53.4025,24.968,28.4346
29.9394,53.8324,25.4908,28.3416
30.1021,53.545,25.2962,28.2488
30.2648,55.1541,26.9981,28.1561
30.4276,53.0355,24.972,28.0635
30.5903,54.7411,26.7701,27.971
30.753,53.4574,25.5788,27.8786
30.9157,54.4683,26.682,27.7864
31.0784,54.6444,26.9502,27.6942
31.2411,54.8406,27.2383,27.6022
31.4038,54.7355,27.2252,27.5104
31.5666,55.0035,27.5849,27.4187
31.7293,56.1087,28.7816,27.3271
31.892,55.1323,27.8967,27.2356
32.0547,54.9154,27.771,27.1443
32.2174,55.9554,28.9022,27.0532
32.3801,56.6347,29.6724,26.9622
32.5428,53.9029,27.0316,26.8714
32.7056,56.2627,29.482,26.7807
32.8683,57.0631,30.3729,26.6902
33.031,55.369,28.7692,26.5998
33.1937,55.1939,28.6842,26.5097
33.3564,56.2359,29.8163,26.4197
33.5191,57.2653,30.9355,26.3298
33.6818,57.1432,30.903,26.2402
33.8446,56.6984,30.5477,26.1507
34.0073,58.3053,32.2439,26.0614
34.17,56.2407,30.2684,25.9723
34.3327,55.8111,29.9277,25.8834
34.4954,56.5377,30.7431,25.7946
34.6581,56.6926,30.9865,25.7061
34.8208,56.3651,30.7474,25.6177
34.9836,57.8473,32.3177,25.5296
35.1463,55.5554,30.1138,25.4416
35.309,58.092,32.7382,25.3538
35.4717,59.0321,33.7658,25.2663
35.6344,58.5478,33.3689,25.1789
35.7971,59.2854,34.1936,25.0918
35.9598,57.3209,32.316,25.0048
36.1226,57.6565,32.7384,24.9181
36.2853,59.4802,34.6487,24.8316
36.448,58.4813,33.736,24.7453
36.6107,56.6909,32.0317,24.6592
36.7734,58.3246,33.7512,24.5733
36.9361,56.7675,32.2799,24.4877
37.0988,59.3068,34.9046,24.4022
37.2616,58.569,34.2519,24.317
37.4243,57.3708,33.1387,24.232
37.587,56.6296,32.4823,24.1473
37.7497,56.7487,32.686,24.0628
37.9124,58.648,34.6695,23.9785
38.0751,59.7007,35.8063,23.8944
38.2378,58.9902,35.1797,23.8105
38.4005,58.6275,34.9006,23.7269
