Fe3O4 nanoparticle r=4.000000

25578 atoms

3 atom types

0 101.870750 xlo xhi
0 99.858829 ylo yhi
0 101.870750 zlo zhi

Masses

1  55.845000
2  55.845000
3  15.999400

Atoms

297     1 1  1.530   60.3383   49.9294   26.7503
298     1 1  1.530   60.3383   49.9294   35.1473
299     1 1  1.530   60.3383   49.9294   43.5443
300     1 1  1.530   60.3383   49.9294   51.9413
301     1 1  1.530   60.3383   49.9294   60.3383
302     1 1  1.530   60.3383   49.9294   68.7353
303     1 1  1.530   60.3383   49.9294   77.1323
304     1 1  1.530   60.3383   49.9294   85.5293
305     1 1  1.530   60.3383   58.3264   18.3533
306     1 1  1.530   60.3383   58.3264   26.7503
307     1 1  1.530   60.3383   58.3264   35.1473
308     1 1  1.530   60.3383   58.3264   43.5443
309     1 1  1.530   60.3383   58.3264   51.9413
310     1 1  1.530   60.3383   58.3264   60.3383
311     1 1  1.530   60.3383   58.3264   68.7353
312     1 1  1.530   60.3383   58.3264   77.1323
313     1 1  1.530   60.3383   58.3264   85.5293
314     1 1  1.530   60.3383   66.7234   18.3533
315     1 1  1.530   60.3383   66.7234   26.7503
316     1 1  1.530   60.3383   66.7234   35.1473
317     1 1  1.530   60.3383   66.7234   43.5443
318     1 1  1.530   60.3383   66.7234   51.9413
319     1 1  1.530   60.3383   66.7234   60.3383
320     1 1  1.530   60.3383   66.7234   68.7353
321     1 1  1.530   60.3383   66.7234   77.1323
322     1 1  1.530   60.3383   66.7234   85.5293
323     1 1  1.530   60.3383   75.1204   26.7503
324     1 1  1.530   60.3383   75.1204   35.1473
325     1 1  1.530   60.3383   75.1204   43.5443
326     1 1  1.530   60.3383   75.1204   51.9413
327     1 1  1.530   60.3383   75.1204   60.3383
328     1 1  1.530   60.3383   75.1204   68.7353
329     1 1  1.530   60.3383   75.1204   77.1323
330     1 1  1.530   60.3383   83.5174   35.1473
331     1 1  1.530   60.3383   83.5174   43.5443
332     1 1  1.530   60.3383   83.5174   51.9413
333     1 1  1.530   60.3383   83.5174   60.3383
334     1 1  1.530   60.3383   83.5174   68.7353
335     1 1  1.530   68.7353   16.3414   43.5443
336     1 1  1.530   68.7353   16.3414   51.9413
337     1 1  1.530   68.7353   16.3414   60.3383
338     1 1  1.530   68.7353   24.7384   26.7503
339     1 1  1.530   68.7353   24.7384   35.1473
340     1 1  1.530   68.7353   24.7384   43.5443
341     1 1  1.530   68.7353   24.7384   51.9413
342     1 1  1.530   68.7353   24.7384   60.3383
343     1 1  1.530   68.7353   24.7384   68.7353
344     1 1  1.530   68.7353   24.7384   77.1323
345     1 1  1.530   68.7353   33.1354   26.7503
346     1 1  1.530   68.7353   33.1354   35.1473
347     1 1  1.530   68.7353   33.1354   43.5443
348     1 1  1.530   68.7353   33.1354   51.9413
349     1 1  1.530   68.7353   33.1354   60.3383
350     1 1  1.530   68.7353   33.1354   68.7353
351     1 1  1.530   68.7353   33.1354   77.1323
352     1 1  1.530   68.7353   41.5324   18.3533
353     1 1  1.530   68.7353   41.5324   26.7503
354     1 1  1.530   68.7353   41.5324   35.1473
355     1 1  1.530   68.7353   41.5324   43.5443
356     1 1  1.530   68.7353   41.5324   51.9413
357     1 1  1.530   68.7353   41.5324   60.3383
358     1 1  1.530   68.7353   41.5324   68.7353
359     1 1  1.530   68.7353   41.5324   77.1323
360     1 1  1.530   68.7353   41.5324   85.5293
361     1 1  1.530   68.7353   49.9294   18.3533
362     1 1  1.530   68.7353   49.9294   26.7503
363     1 1  1.530   68.7353   49.9294   35.1473
364     1 1  1.530   68.7353   49.9294   43.5443
365     1 1  1.530   68.7353   49.9294   51.9413
366     1 1  1.530   68.7353   49.9294   60.3383
367     1 1  1.530   68.7353   49.9294   68.7353
368     1 1  1.530   68.7353   49.9294   77.1323
369     1 1  1.530   68.7353   49.9294   85.5293
370     1 1  1.530   68.7353   58.3264   18.3533
371     1 1  1.530   68.7353   58.3264   26.7503
372     1 1  1.530   68.7353   58.3264   35.1473
373     1 1  1.530   68.7353   58.3264   43.5443
374     1 1  1.530   68.7353   58.3264   51.9413
375     1 1  1.530   68.7353   58.3264   60.3383
376     1 1  1.530   68.7353   58.3264   68.7353
377     1 1  1.530   68.7353   58.3264   77.1323
378     1 1  1.530   68.7353   58.3264   85.5293
379     1 1  1.530   68.7353   66.7234   26.7503
380     1 1  1.530   68.7353   66.7234   35.1473
381     1 1  1.530   68.7353   66.7234   43.5443
382     1 1  1.530   68.7353   66.7234   51.9413
383     1 1  1.530   68.7353   66.7234   60.3383
384     1 1  1.530   68.7353   66.7234   68.7353
385     1 1  1.530   68.7353   66.7234   77.1323
386     1 1  1.530   68.7353   75.1204   26.7503
387     1 1  1.530   68.7353   75.1204   35.1473
388     1 1  1.530   68.7353   75.1204   43.5443
