Time (ns),Water after lsq fit to Water
0.0030000,0.5910689
0.0030050,0.5910716
0.0030100,0.5910839
0.0030150,0.5911046
0.0030200,0.5911333
0.0030250,0.5911684
0.0030300,0.5912091
0.0030350,0.5912553
0.0030400,0.5913079
0.0030450,0.5913710
0.0030500,0.5914472
0.0030550,0.5915370
0.0030600,0.5916403
0.0030650,0.5917545
0.0030700,0.5918778
0.0030750,0.5920095
0.0030800,0.5921482
0.0030850,0.5922918
0.0030900,0.5924350
0.0030950,0.5925715
0.0031000,0.4257376
0.0031050,0.4257416
0.0031100,0.4257334
0.0031150,0.4257186
0.0031200,0.4257038
0.0031250,0.4256915
0.0031300,0.4256825
0.0031350,0.4256792
0.0031400,0.4256823
0.0031450,0.4256896
0.0031500,0.4257001
0.0031550,0.4257171
0.0031600,0.4257443
0.0031650,0.4257843
0.0031700,0.4258401
0.0031750,0.4259138
0.0031800,0.4260054
0.0031850,0.4261111
0.0031900,0.4262255
0.0031950,0.4263458
0.0032000,0.4290898
0.0032050,0.4291365
0.0032100,0.4291870
0.0032150,0.4292428
0.0032200,0.4293037
0.0032250,0.4293673
0.0032300,0.4294339
0.0032350,0.4295040
0.0032400,0.4295761
0.0032450,0.4296472
0.0032500,0.4297133
0.0032550,0.4297716
0.0032600,0.4298196
0.0032650,0.4298540
0.0032700,0.4298744
0.0032750,0.4298817
0.0032800,0.4298746
0.0032850,0.4298507
0.0032900,0.4298082
0.0032950,0.4297471
0.0033000,0.4906709
0.0033050,0.4906426
0.0033100,0.4905999
0.0033150,0.4905415
0.0033200,0.4904679
0.0033250,0.4903833
0.0033300,0.4902948
0.0033350,0.4902089
0.0033400,0.4901309
0.0033450,0.4900669
0.0033500,0.4900244
0.0033550,0.4900047
0.0033600,0.4900029
0.0033650,0.4900150
0.0033700,0.4900405
0.0033750,0.4900778
0.0033800,0.4901224
0.0033850,0.4901706
0.0033900,0.4902216
0.0033950,0.4902717
0.0034000,0.5929702
0.0034050,0.5929901
0.0034100,0.5930168
0.0034150,0.5930500
0.0034200,0.5930865
0.0034250,0.5931232
0.0034300,0.5931629
0.0034350,0.5932069
0.0034400,0.5932535
0.0034450,0.5933028
0.0034500,0.5933573
0.0034550,0.5934162
0.0034600,0.5934784
0.0034650,0.5935436
0.0034700,0.5936097
0.0034750,0.5936704
0.0034800,0.5937198
0.0034850,0.5937533
0.0034900,0.5937735
0.0034950,0.5937846
0.0035000,0.5937415
0.0035050,0.5937106
0.0035100,0.5936866
0.0035150,0.5936737
0.0035200,0.5936751
0.0035250,0.5936931
0.0035300,0.5937295
0.0035350,0.5937806
0.0035400,0.5938418
0.0035450,0.5939095
0.0035500,0.5939831
0.0035550,0.5940630
0.0035600,0.5941504
0.0035650,0.5942479
0.0035700,0.5943567
0.0035750,0.5944755
0.0035800,0.5946030
0.0035850,0.5947359
0.0035900,0.5948701
0.0035950,0.5949998
0.0036000,0.5926286
0.0036050,0.5926877
0.0036100,0.5927380
0.0036150,0.5927819
0.0036200,0.5928221
0.0036250,0.5928623
0.0036300,0.5929058
0.0036350,0.5929560
0.0036400,0.5930158
0.0036450,0.5930881
0.0036500,0.5931733
0.0036550,0.5932696
0.0036600,0.5933736
0.0036650,0.5934843
0.0036700,0.5935990
0.0036750,0.5937150
0.0036800,0.5938299
0.0036850,0.5939425
0.0036900,0.5940529
0.0036950,0.5941633
0.0037000,0.4895167
0.0037050,0.4895996
0.0037100,0.4896810
0.0037150,0.4897610
0.0037200,0.4898379
0.0037250,0.4899102
0.0037300,0.4899728
0.0037350,0.4900235
0.0037400,0.4900624
0.0037450,0.4900891
0.0037500,0.4901037
0.0037550,0.4901105
0.0037600,0.4901143
0.0037650,0.4901178
0.0037700,0.4901180
0.0037750,0.4901142
0.0037800,0.4901098
0.0037850,0.4901105
0.0037900,0.4901163
0.0037950,0.4901278
0.0038000,0.5467592
0.0038050,0.5467953
0.0038100,0.5468410
0.0038150,0.5468919
0.0038200,0.5469439
0.0038250,0.5469959
0.0038300,0.5470469
0.0038350,0.5470976
0.0038400,0.5471489
0.0038450,0.5472009
0.0038500,0.5472517
0.0038550,0.5472986
0.0038600,0.5473397
0.0038650,0.5473755
0.0038700,0.5474072
0.0038750,0.5474372
0.0038800,0.5474673
0.0038850,0.5474976
0.0038900,0.5475251
0.0038950,0.5475458
0.0039000,0.4921417
0.0039050,0.4920898
0.0039100,0.4920367
0.0039150,0.4919841
0.0039200,0.4919318
0.0039250,0.4918802
0.0039300,0.4918300
0.0039350,0.4917799
0.0039400,0.4917288
0.0039450,0.4916744
0.0039500,0.4916157
0.0039550,0.4915550
0.0039600,0.4914928
0.0039650,0.4914304
0.0039700,0.4913707
0.0039750,0.4913172
0.0039800,0.4912695
0.0039850,0.4912264
0.0039900,0.4911903
0.0039950,0.4911669
0.0040000,0.4911598
0.0040050,0.4911691
0.0040100,0.4911923
0.0040150,0.4912269
0.0040200,0.4912682
0.0040250,0.4913108
0.0040300,0.4913517
0.0040350,0.4913882
0.0040400,0.4914163
0.0040450,0.4914329
0.0040500,0.4914408
0.0040550,0.4914455
0.0040600,0.4914486
0.0040650,0.4914509
0.0040700,0.4914539
0.0040750,0.4914582
0.0040800,0.4914622
0.0040850,0.4914650
0.0040900,0.4914686
0.0040950,0.4914764
0.0041000,0.4914888
0.0041050,0.4915039
0.0041100,0.4915207
0.0041150,0.4915381
0.0041200,0.4915517
0.0041250,0.4915573
0.0041300,0.4915524
0.0041350,0.4915342
0.0041400,0.4915004
0.0041450,0.4914529
0.0041500,0.4913955
0.0041550,0.4913338
0.0041600,0.4912728
0.0041650,0.4912149
0.0041700,0.4911624
0.0041750,0.4911182
0.0041800,0.4910848
0.0041850,0.4910633
0.0041900,0.4910535
0.0041950,0.4910559
0.0042000,0.4283563
0.0042050,0.4283653
0.0042100,0.4283835
0.0042150,0.4284085
0.0042200,0.4284398
0.0042250,0.4284794
0.0042300,0.4285297
0.0042350,0.4285914
0.0042400,0.4286616
0.0042450,0.4287381
0.0042500,0.4288182
0.0042550,0.4289024
0.0042600,0.4289900
0.0042650,0.4290795
0.0042700,0.4291681
0.0042750,0.4292551
0.0042800,0.4293399
0.0042850,0.4294206
0.0042900,0.4294944
0.0042950,0.4295623
0.0043000,0.4294334
0.0043050,0.4294979
0.0043100,0.4295679
0.0043150,0.4296438
0.0043200,0.4297256
0.0043250,0.4298106
0.0043300,0.4298950
0.0043350,0.4299779
0.0043400,0.4300578
0.0043450,0.4301322
0.0043500,0.4301982
0.0043550,0.4302567
0.0043600,0.4303105
0.0043650,0.4303601
0.0043700,0.4304053
0.0043750,0.4304485
0.0043800,0.4304920
0.0043850,0.4305356
0.0043900,0.4305763
0.0043950,0.4306130
0.0044000,0.4296306
0.0044050,0.4296780
0.0044100,0.4297211
0.0044150,0.4297514
0.0044200,0.4297608
0.0044250,0.4297434
0.0044300,0.4296978
0.0044350,0.4296303
0.0044400,0.4295518
0.0044450,0.4294696
0.0044500,0.4293880
0.0044550,0.4293129
0.0044600,0.4292479
0.0044650,0.4291936
0.0044700,0.4291467
0.0044750,0.4291089
0.0044800,0.4290838
0.0044850,0.4290687
0.0044900,0.4290606
0.0044950,0.4290603
0.0045000,0.5462540
0.0045050,0.5462651
0.0045100,0.5462804
0.0045150,0.5463000
0.0045200,0.5463239
0.0045250,0.5463498
0.0045300,0.5463765
0.0045350,0.5464047
0.0045400,0.5464340
0.0045450,0.5464632
0.0045500,0.5464945
0.0045550,0.5465320
0.0045600,0.5465777
0.0045650,0.5466312
0.0045700,0.5466906
0.0045750,0.5467552
0.0045800,0.5468251
0.0045850,0.5468981
0.0045900,0.5469737
0.0045950,0.5470542
0.0046000,0.4911219
0.0046050,0.4912163
0.0046100,0.4913280
0.0046150,0.4914548
0.0046200,0.4915921
0.0046250,0.4917312
0.0046300,0.4918670
0.0046350,0.4919972
0.0046400,0.4921210
0.0046450,0.4922368
0.0046500,0.4923442
0.0046550,0.4924439
0.0046600,0.4925391
0.0046650,0.4926300
0.0046700,0.4927138
0.0046750,0.4927901
0.0046800,0.4928635
0.0046850,0.4929361
0.0046900,0.4930087
0.0046950,0.4930809
0.0047000,0.4931047
0.0047050,0.4932043
0.0047100,0.4933007
0.0047150,0.4933898
0.0047200,0.4934691
0.0047250,0.4935377
0.0047300,0.4935940
0.0047350,0.4936355
0.0047400,0.4936648
0.0047450,0.4936831
0.0047500,0.4936894
0.0047550,0.4936848
0.0047600,0.4936743
0.0047650,0.4936613
0.0047700,0.4936484
0.0047750,0.4936366
0.0047800,0.4936288
0.0047850,0.4936278
0.0047900,0.4936335
0.0047950,0.4936458
0.0048000,0.4919562
0.0048050,0.4919591
0.0048100,0.4919649
0.0048150,0.4919723
0.0048200,0.4919847
0.0048250,0.4920044
0.0048300,0.4920315
0.0048350,0.4920669
0.0048400,0.4921131
0.0048450,0.4921719
0.0048500,0.4922403
0.0048550,0.4923153
0.0048600,0.4923963
0.0048650,0.4924806
0.0048700,0.4925621
0.0048750,0.4926371
0.0048800,0.4927063
0.0048850,0.4927669
0.0048900,0.4928148
0.0048950,0.4928542
0.0049000,0.4933975
0.0049050,0.4933831
0.0049100,0.4933689
0.0049150,0.4933599
0.0049200,0.4933609
0.0049250,0.4933711
0.0049300,0.4933841
0.0049350,0.4933963
0.0049400,0.4934055
0.0049450,0.4934055
0.0049500,0.4933902
0.0049550,0.4933618
0.0049600,0.4933272
0.0049650,0.4932878
0.0049700,0.4932428
0.0049750,0.4931984
0.0049800,0.4931638
0.0049850,0.4931400
0.0049900,0.4931233
0.0049950,0.4931138
0.0050000,0.4311415
0.0050050,0.4311520
0.0050100,0.4311601
0.0050150,0.4311659
0.0050200,0.4311714
0.0050250,0.4311746
0.0050300,0.4311695
0.0050350,0.4311533
0.0050400,0.4311245
0.0050450,0.4310798
0.0050500,0.4310157
0.0050550,0.4309342
0.0050600,0.4308427
0.0050650,0.4307482
0.0050700,0.4306550
0.0050750,0.4305698
0.0050800,0.4305009
0.0050850,0.4304526
0.0050900,0.4304242
0.0050950,0.4304133
0.0051000,0.4909361
0.0051050,0.4909594
0.0051100,0.4909834
0.0051150,0.4910038
0.0051200,0.4910190
0.0051250,0.4910244
0.0051300,0.4910143
0.0051350,0.4909863
0.0051400,0.4909420
0.0051450,0.4908843
0.0051500,0.4908151
0.0051550,0.4907373
0.0051600,0.4906570
0.0051650,0.4905773
0.0051700,0.4904998
0.0051750,0.4904267
0.0051800,0.4903612
0.0051850,0.4903057
0.0051900,0.4902629
0.0051950,0.4902366
0.0052000,0.5446600
0.0052050,0.5445970
0.0052100,0.5445563
0.0052150,0.5445373
0.0052200,0.5445391
0.0052250,0.5445575
0.0052300,0.5445876
0.0052350,0.5446256
0.0052400,0.5446691
0.0052450,0.5447158
0.0052500,0.5447652
0.0052550,0.5448177
0.0052600,0.5448739
0.0052650,0.5449332
0.0052700,0.5449955
0.0052750,0.5450601
0.0052800,0.5451267
0.0052850,0.5451947
0.0052900,0.5452632
0.0052950,0.5453343
0.0053000,0.5463533
0.0053050,0.5464314
0.0053100,0.5465245
0.0053150,0.5466292
0.0053200,0.5467413
0.0053250,0.5468545
0.0053300,0.5469621
0.0053350,0.5470569
0.0053400,0.5471312
0.0053450,0.5471804
0.0053500,0.5472051
0.0053550,0.5472100
0.0053600,0.5471980
0.0053650,0.5471721
0.0053700,0.5471382
0.0053750,0.5471010
0.0053800,0.5470637
0.0053850,0.5470311
0.0053900,0.5470085
0.0053950,0.5469994
0.0054000,0.5965614
0.0054050,0.5965888
0.0054100,0.5966382
0.0054150,0.5967102
0.0054200,0.5967998
0.0054250,0.5969005
0.0054300,0.5970083
0.0054350,0.5971169
0.0054400,0.5972187
0.0054450,0.5973077
0.0054500,0.5973834
0.0054550,0.5974476
0.0054600,0.5975018
0.0054650,0.5975452
0.0054700,0.5975808
0.0054750,0.5976138
0.0054800,0.5976473
0.0054850,0.5976821
