Time (ps),Radius (nm)
1389,1.56522
1390,1.5646
1391,1.56492
1392,1.56511
1393,1.56478
1394,1.56523
1395,1.56483
1396,1.56477
1397,1.56511
1398,1.56457
1399,1.56444
1400,1.56535
1401,1.56464
1402,1.56499
1403,1.56506
1404,1.56476
1405,1.56506
1406,1.56503
1407,1.56446
1408,1.56492
1409,1.56485
1410,1.56492
1411,1.56526
1412,1.56467
1413,1.56474
1414,1.56549
1415,1.56482
1416,1.56492
1417,1.56519
1418,1.56483
1419,1.56479
1420,1.56475
1421,1.5648
1422,1.56546
1423,1.5649
1424,1.56455
1425,1.56476
1426,1.56499
1427,1.56473
1428,1.56506
1429,1.56494
1430,1.56426
1431,1.56522
1432,1.56505
1433,1.56449
1434,1.5649
1435,1.56548
1436,1.56433
1437,1.56528
1438,1.56513
1439,1.56508
1440,1.56495
1441,1.56496
1442,1.56505
1443,1.56481
1444,1.56536
1445,1.56458
1446,1.56484
1447,1.56469
1448,1.56477
1449,1.56501
1450,1.56488
1451,1.56485
1452,1.56463
1453,1.56464
1454,1.56494
1455,1.56482
1456,1.56505
1457,1.56447
1458,1.56553
1459,1.5648
1460,1.56512
1461,1.56493
1462,1.56488
1463,1.56523
1464,1.56431
1465,1.56517
1466,1.56477
1467,1.56493
1468,1.56492
1469,1.56516
1470,1.56452
1471,1.56502
1472,1.56474
1473,1.56486
1474,1.56482
1475,1.56504
1476,1.56508
1477,1.56464
1478,1.56498
1479,1.56511
1480,1.5649
1481,1.56494
1482,1.56501
1483,1.56527
1484,1.56491
1485,1.56498
1486,1.5648
1487,1.56486
1488,1.565
1489,1.5648
1490,1.5648
1491,1.565
1492,1.56486
1493,1.56492
1494,1.56491
1495,1.56495
1496,1.56472
1497,1.56523
1498,1.56496
1499,1.5651
1500,1.56502
1501,1.56466
1502,1.56499
1503,1.56479
1504,1.56471
1505,1.56518
1506,1.56488
1507,1.56521
1508,1.56493
1509,1.56529
1510,1.56511
1511,1.56482
1512,1.56521
1513,1.56433
1514,1.56529
1515,1.56503
1516,1.56485
1517,1.5647
1518,1.56498
1519,1.56484
1520,1.56489
1521,1.56506
1522,1.56493
1523,1.56495
