E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
192.654,293.774,286.489,7.28494
192.816,291.162,283.889,7.27299
192.979,291.935,284.673,7.26106
193.142,289.069,281.82,7.24916
193.304,287.697,280.46,7.23728
193.467,288.837,281.611,7.22544
193.63,290.613,283.4,7.21363
193.793,289.257,282.055,7.20184
193.955,292.482,285.292,7.19009
194.118,293.018,285.839,7.17836
194.281,291.234,284.067,7.16666
194.443,293.756,286.601,7.15499
194.606,287.706,280.562,7.14335
194.769,288.076,280.945,7.13173
194.932,291.966,284.846,7.12014
195.094,288.475,281.367,7.10859
195.257,290.663,283.566,7.09706
195.42,291.635,284.549,7.08555
195.582,295.62,288.546,7.07408
195.745,291.418,284.356,7.06263
195.908,291.946,284.895,7.05121
196.071,292.656,285.617,7.03982
196.233,289.969,282.941,7.02845
196.396,291.456,284.439,7.01711
196.559,290.012,283.006,7.0058
196.721,289.246,282.251,6.99452
196.884,290.004,283.02,6.98326
197.047,289.537,282.564,6.97203
197.21,289.438,282.477,6.96083
197.372,287.382,280.432,6.94965
197.535,290.668,283.73,6.9385
197.698,291.004,284.077,6.92738
197.86,288.074,281.158,6.91628
198.023,291.306,284.401,6.90521
198.186,292.015,285.121,6.89417
198.349,292.268,285.385,6.88315
198.511,290.154,283.282,6.87216
198.674,290.612,283.751,6.86119
198.837,290.758,283.908,6.85025
198.999,289.325,282.486,6.83934
199.162,294.938,288.109,6.82845
199.325,286.246,279.428,6.81759
199.488,295.475,288.668,6.80675
199.65,285.74,278.944,6.79594
199.813,291.32,284.535,6.78516
199.976,287.253,280.479,6.7744
200.138,292.615,285.851,6.76366
200.301,290.331,283.578,6.75295
200.464,289.718,282.975,6.74227
200.627,293.348,286.617,6.73161
200.789,290.138,283.417,6.72098
200.952,290.461,283.751,6.71037
201.115,293.223,286.523,6.69978
201.277,291.453,284.764,6.68922
201.44,291.455,284.776,6.67869
201.603,290.902,284.234,6.66818
201.766,289.919,283.261,6.65769
201.928,295.393,288.746,6.64723
202.091,291.308,284.671,6.6368
202.254,291.784,285.158,6.62639
202.416,293.097,286.481,6.616
202.579,293.564,286.959,6.60563
202.742,291.858,285.263,6.5953
202.905,287.86,281.275,6.58498
203.067,288.06,281.485,6.57469
203.23,289.056,282.492,6.56442
