Time (ps),Radius (nm)
482,1.56535
482.5,1.56494
483,1.56504
483.5,1.56505
484,1.56479
484.5,1.56532
485,1.56576
485.5,1.56533
486,1.56554
486.5,1.56518
487,1.56556
487.5,1.56556
488,1.56557
488.5,1.56502
489,1.56508
489.5,1.56546
490,1.56507
490.5,1.56542
491,1.56523
491.5,1.56526
492,1.56551
492.5,1.5654
493,1.56506
493.5,1.56533
494,1.56568
494.5,1.56493
495,1.56517
495.5,1.56575
496,1.565
496.5,1.56455
497,1.56543
497.5,1.56567
498,1.56508
498.5,1.56512
499,1.56555
499.5,1.56526
500,1.56523
500.5,1.56535
501,1.56523
501.5,1.56511
502,1.56551
502.5,1.56518
503,1.5651
503.5,1.56586
504,1.56545
504.5,1.56445
505,1.56543
505.5,1.56565
506,1.56483
506.5,1.56521
507,1.56605
507.5,1.56535
508,1.56544
508.5,1.56555
509,1.56523
509.5,1.56534
510,1.56528
510.5,1.56543
511,1.56473
511.5,1.56463
512,1.56553
512.5,1.56498
513,1.56516
513.5,1.56533
514,1.56474
514.5,1.56515
515,1.56527
515.5,1.5656
516,1.56464
516.5,1.56548
517,1.56497
517.5,1.56508
518,1.56512
518.5,1.56497
519,1.56492
519.5,1.5651
520,1.56568
520.5,1.56482
521,1.56493
521.5,1.56488
522,1.56496
522.5,1.56517
523,1.56525
523.5,1.56486
524,1.565
524.5,1.56523
525,1.56536
525.5,1.56472
526,1.56525
526.5,1.56483
527,1.56486
527.5,1.56508
528,1.56543
528.5,1.56508
529,1.56488
529.5,1.56516
530,1.56508
530.5,1.5651
531,1.56558
531.5,1.56466
532,1.56506
532.5,1.56573
533,1.56484
533.5,1.56539
534,1.56515
534.5,1.56504
535,1.56525
535.5,1.56536
536,1.56506
536.5,1.56498
537,1.56506
537.5,1.56541
538,1.56506
538.5,1.56495
539,1.5651
539.5,1.56524
540,1.56539
540.5,1.56526
541,1.56496
541.5,1.56524
542,1.56492
542.5,1.5648
543,1.56508
543.5,1.56543
544,1.56482
544.5,1.56485
545,1.56506
545.5,1.56545
546,1.56501
546.5,1.56536
547,1.56542
547.5,1.56488
548,1.56576
548.5,1.56521
549,1.56481
549.5,1.56535
550,1.56531
550.5,1.56465
551,1.56521
551.5,1.56542
552,1.56469
552.5,1.56529
553,1.56544
553.5,1.56452
554,1.56487
554.5,1.56547
555,1.56517
555.5,1.56528
556,1.56521
556.5,1.56517
557,1.56485
557.5,1.56534
558,1.56532
558.5,1.56497
559,1.56526
559.5,1.56544
560,1.56521
560.5,1.56486
561,1.56507
561.5,1.56544
562,1.56487
562.5,1.56501
563,1.5655
563.5,1.56524
564,1.56509
564.5,1.5652
565,1.56464
565.5,1.56544
